order_id,user_id,purchase_at,amount
o_00000124,u_014999,2025-01-10,127736
o_00000125,u_014999,2025-01-15,128727
o_00000126,u_001888,2025-01-02,250708
o_00000127,u_001888,2025-01-09,233640
o_00000128,u_001888,2025-01-18,179385
o_00000129,u_001888,2025-01-19,187258
o_00000130,u_012774,2025-01-16,74170
o_00000131,u_012115,2025-01-27,56072
o_00000132,u_000537,2025-01-03,194604
o_00000133,u_000537,2025-01-14,237409
o_00000134,u_000537,2025-01-15,163212
o_00000135,u_000537,2025-01-28,119040
o_00000136,u_000537,2025-03-03,220504
o_00000137,u_000537,2025-03-04,190686
o_00000138,u_000537,2025-03-06,98311
o_00000139,u_001431,2025-01-04,155442
o_00000140,u_001431,2025-01-07,106537
o_00000141,u_001431,2025-01-09,131947
o_00000142,u_001431,2025-01-10,96277
o_00000143,u_001431,2025-01-10,202134
o_00000144,u_001431,2025-01-11,169702
o_00000145,u_001431,2025-01-13,117463
o_00000146,u_013399,2025-01-06,103540
o_00000147,u_011594,2025-01-10,49469
o_00000148,u_012815,2025-02-12,93854
o_00000149,u_012966,2025-01-07,88626
o_00000150,u_012966,2025-02-01,150095
o_00000151,u_012966,2025-02-06,65294
o_00000152,u_000206,2025-01-07,185390
o_00000153,u_000206,2025-01-10,262928
o_00000154,u_000206,2025-01-31,332888
o_00000155,u_000206,2025-01-31,270459
o_00000156,u_000206,2025-02-11,375929
o_00000157,u_000893,2025-01-05,136246
o_00000158,u_000893,2025-01-12,70070
o_00000159,u_000893,2025-01-17,77899
o_00000160,u_000893,2025-01-17,87328
o_00000161,u_000893,2025-01-18,128781
o_00000162,u_000893,2025-01-20,86407
o_00000163,u_000893,2025-01-27,175764
o_00000164,u_000893,2025-01-30,105932
o_00000165,u_013107,2025-01-02,99151
o_00000166,u_013107,2025-01-08,82815
o_00000167,u_012372,2025-01-01,175976
o_00000168,u_012372,2025-01-11,148083
o_00000169,u_014120,2025-01-08,50805
o_00000170,u_014120,2025-01-19,28415
o_00000171,u_014120,2025-02-14,52109
o_00000172,u_010831,2025-01-05,35273
o_00000173,u_000878,2025-01-01,210461
o_00000174,u_000878,2025-01-02,100231
o_00000175,u_000878,2025-01-04,178727
o_00000176,u_000878,2025-01-05,164707
o_00000177,u_000878,2025-01-05,124664
o_00000178,u_013454,2025-01-02,56331
o_00000179,u_013454,2025-01-04,41031
o_00000180,u_013454,2025-01-06,92046
o_00000181,u_001923,2025-01-03,228501
o_00000182,u_001923,2025-01-07,79675
o_00000183,u_001923,2025-01-09,93992
o_00000184,u_001923,2025-01-13,85502
o_00000185,u_001923,2025-01-14,99910
o_00000186,u_001923,2025-01-22,86496
o_00000187,u_000572,2025-01-12,202024
o_00000188,u_000572,2025-01-24,163524
o_00000189,u_000572,2025-01-25,277982
o_00000190,u_000572,2025-01-25,112252
o_00000191,u_000572,2025-02-08,324130
o_00000192,u_000572,2025-02-10,308257
o_00000193,u_000572,2025-02-24,194861
o_00000194,u_000572,2025-03-01,241358
o_00000195,u_000572,2025-03-09,129142
o_00000196,u_012292,2025-02-03,105196
o_00000197,u_012292,2025-02-08,172074
o_00000198,u_012292,2025-02-15,170153
o_00000199,u_013776,2025-01-06,48576
o_00000200,u_001450,2025-01-08,166661
o_00000201,u_001450,2025-01-11,104159
o_00000202,u_001450,2025-01-17,151126
o_00000203,u_001450,2025-01-18,118479
o_00000204,u_001450,2025-01-21,105939
o_00000205,u_001450,2025-01-24,146195
o_00000206,u_001450,2025-01-24,190005
o_00000207,u_001450,2025-01-29,204590
o_00000208,u_001450,2025-02-13,196744
o_00000209,u_001450,2025-02-17,179532
o_00000210,u_013598,2025-01-04,64730
o_00000211,u_013598,2025-01-24,54607
o_00000212,u_001568,2025-01-01,205250
o_00000213,u_001568,2025-01-12,86509
o_00000214,u_001568,2025-01-13,172711
o_00000215,u_001568,2025-01-15,210051
o_00000216,u_001568,2025-01-20,170985
o_00000217,u_001568,2025-01-25,129090
o_00000218,u_001568,2025-01-27,187674
o_00000219,u_001176,2025-01-05,89744
o_00000220,u_001176,2025-01-15,68868
o_00000221,u_001176,2025-01-17,104738
o_00000222,u_001176,2025-01-17,144057
o_00000223,u_000130,2025-01-02,332541
o_00000224,u_000130,2025-01-13,206576
o_00000225,u_000130,2025-01-15,400777
o_00000226,u_000130,2025-01-22,157166
o_00000227,u_000130,2025-01-24,428082
o_00000228,u_000130,2025-01-26,119688
o_00000229,u_000130,2025-01-26,151827
o_00000230,u_000130,2025-01-29,322603
o_00000231,u_000130,2025-02-02,177683
o_00000232,u_000130,2025-02-03,158874
o_00000233,u_000130,2025-02-04,152361
o_00000234,u_014578,2025-01-09,201491
o_00000235,u_014578,2025-01-30,206719
o_00000236,u_001998,2025-01-03,122683
o_00000237,u_001998,2025-01-04,103593
o_00000238,u_001998,2025-01-05,182278
o_00000239,u_001998,2025-01-10,210242
o_00000240,u_001998,2025-01-17,138214
o_00000241,u_001998,2025-01-17,203262
o_00000242,u_000629,2025-01-06,197316
o_00000243,u_000629,2025-01-09,145120
o_00000244,u_000629,2025-02-02,136997
o_00000245,u_000629,2025-02-04,127163
o_00000246,u_000629,2025-02-07,162041
o_00000247,u_000629,2025-02-10,192273
o_00000248,u_000629,2025-02-18,236118
o_00000249,u_000629,2025-02-19,224818
o_00000250,u_000629,2025-02-21,178301
o_00000251,u_000629,2025-03-14,91905
o_00000252,u_000725,2025-01-10,196369
o_00000253,u_000725,2025-01-27,289156
o_00000254,u_000725,2025-01-28,142870
o_00000255,u_000725,2025-02-01,221943
o_00000256,u_000725,2025-02-06,141383
o_00000257,u_000725,2025-03-06,346302
o_00000258,u_014469,2025-01-03,58005
o_00000259,u_014469,2025-01-08,98458
o_00000260,u_014469,2025-01-08,106573
o_00000261,u_011104,2025-02-13,72386
o_00000262,u_012801,2025-01-27,138719
o_00000263,u_012801,2025-02-02,98233
o_00000264,u_000948,2025-01-09,47898
o_00000265,u_000948,2025-01-13,34087
o_00000266,u_000948,2025-01-17,37932
o_00000267,u_000948,2025-01-22,82464
o_00000268,u_000948,2025-01-30,77104
o_00000269,u_014415,2025-01-11,65545
o_00000270,u_014415,2025-01-17,74673
o_00000271,u_000690,2025-01-07,94133
o_00000272,u_000690,2025-01-12,110661
o_00000273,u_000690,2025-01-14,248128
o_00000274,u_000690,2025-01-27,204421
o_00000275,u_000690,2025-02-02,212243
o_00000276,u_000690,2025-02-05,281483
o_00000277,u_000690,2025-03-06,182119
o_00000278,u_000690,2025-03-12,222574
o_00000279,u_000690,2025-03-14,240626
o_00000280,u_011194,2025-01-29,16650
o_00000281,u_001595,2025-01-01,185221
o_00000282,u_001595,2025-01-05,134936
o_00000283,u_001595,2025-01-13,77099
o_00000284,u_001595,2025-01-17,56114
o_00000285,u_001595,2025-01-19,78456
o_00000286,u_001595,2025-01-23,169473
o_00000287,u_001878,2025-01-04,133706
o_00000288,u_001878,2025-01-05,118645
o_00000289,u_001878,2025-01-27,157769
o_00000290,u_001878,2025-02-02,117528
o_00000291,u_001878,2025-02-06,197383
o_00000292,u_001878,2025-02-12,111981
o_00000293,u_001878,2025-02-15,92661
o_00000294,u_001254,2025-01-03,83276
o_00000295,u_001254,2025-01-04,45031
o_00000296,u_001254,2025-01-04,47814
o_00000297,u_001254,2025-01-05,84071
o_00000298,u_001254,2025-01-05,46224
o_00000299,u_001254,2025-01-07,55435
o_00000300,u_001254,2025-01-08,29332
o_00000301,u_001254,2025-01-09,69772
o_00000302,u_001254,2025-01-16,62352
o_00000303,u_001254,2025-01-20,55221
o_00000304,u_014614,2025-01-07,135522
o_00000305,u_014614,2025-01-13,148728
o_00000306,u_014614,2025-01-22,57462
o_00000307,u_014064,2025-01-07,78717
o_00000308,u_014064,2025-01-21,192295
o_00000309,u_002117,2025-01-19,71476
o_00000310,u_002117,2025-01-25,43694
o_00000311,u_002117,2025-02-06,76790
o_00000312,u_002117,2025-02-17,73702
o_00000313,u_011578,2025-03-10,36779
o_00000314,u_014360,2025-01-02,74806
o_00000315,u_014360,2025-01-06,44750
o_00000316,u_014360,2025-01-06,85626
o_00000317,u_014906,2025-01-02,60927
o_00000318,u_014906,2025-01-08,53113
o_00000319,u_014946,2025-01-17,89640
o_00000320,u_014946,2025-01-29,197334
o_00000321,u_014946,2025-01-31,121819
o_00000322,u_001679,2025-01-01,89169
o_00000323,u_001679,2025-01-05,107093
o_00000324,u_001679,2025-01-10,50943
o_00000325,u_001679,2025-01-12,64003
o_00000326,u_001679,2025-01-21,105129
o_00000327,u_001679,2025-01-21,46829
o_00000328,u_001679,2025-01-26,64232
o_00000329,u_001679,2025-01-30,80991
o_00000330,u_001679,2025-02-05,45586
o_00000331,u_001679,2025-02-06,36511
o_00000332,u_013634,2025-01-21,104323
o_00000333,u_001226,2025-01-13,169407
o_00000334,u_001226,2025-01-16,109726
o_00000335,u_001226,2025-02-05,131065
o_00000336,u_001226,2025-02-16,237133
o_00000337,u_013134,2025-01-04,85456
o_00000338,u_013134,2025-01-04,110265
o_00000339,u_001018,2025-01-02,137809
o_00000340,u_001018,2025-01-03,125738
o_00000341,u_001018,2025-01-04,162924
o_00000342,u_001018,2025-01-05,154290
o_00000343,u_001018,2025-01-05,206202
o_00000344,u_001018,2025-01-07,162271
o_00000345,u_001018,2025-01-11,166652
o_00000346,u_002119,2025-01-12,111058
o_00000347,u_002119,2025-01-12,93190
o_00000348,u_002119,2025-01-21,129237
o_00000349,u_002119,2025-01-23,90522
o_00000350,u_002119,2025-02-07,121087
o_00000351,u_002119,2025-02-09,48855
o_00000352,u_002119,2025-02-14,91903
o_00000353,u_002119,2025-02-23,46652
o_00000354,u_002119,2025-02-24,137931
o_00000355,u_014602,2025-01-03,172808
o_00000356,u_014602,2025-01-05,68122
o_00000357,u_013861,2025-01-02,70493
o_00000358,u_013861,2025-01-08,42312
o_00000359,u_000654,2025-01-27,115813
o_00000360,u_000654,2025-02-11,79578
o_00000361,u_000654,2025-02-12,50116
o_00000362,u_000654,2025-02-15,70897
o_00000363,u_000654,2025-02-16,62793
o_00000364,u_000654,2025-03-11,71591
o_00000365,u_000654,2025-03-19,53955
o_00000366,u_000654,2025-03-26,58155
o_00000367,u_014182,2025-01-01,178555
o_00000368,u_014182,2025-01-11,57417
o_00000369,u_001973,2025-01-01,112490
o_00000370,u_001973,2025-01-07,182828
o_00000371,u_001973,2025-01-10,122968
o_00000372,u_001973,2025-01-17,126867
o_00000373,u_001973,2025-01-22,102961
o_00000374,u_001973,2025-01-22,115110
o_00000375,u_001973,2025-01-26,133144
o_00000376,u_001973,2025-01-30,157034
o_00000377,u_001973,2025-02-08,177944
o_00000378,u_013422,2025-01-04,64153
o_00000379,u_013422,2025-01-18,134841
o_00000380,u_001340,2025-01-01,91448
o_00000381,u_001340,2025-01-02,128577
o_00000382,u_001340,2025-01-06,123811
o_00000383,u_001340,2025-01-13,218957
o_00000384,u_001340,2025-01-16,173336
o_00000385,u_001340,2025-01-18,250897
o_00000386,u_001340,2025-01-20,172242
o_00000387,u_001340,2025-01-31,93084
o_00000388,u_001340,2025-02-06,142388
o_00000389,u_014982,2025-02-19,46827
o_00000390,u_012663,2025-01-01,87343
o_00000391,u_012663,2025-01-01,147023
o_00000392,u_012663,2025-01-02,187831
o_00000393,u_001618,2025-01-02,89790
o_00000394,u_001618,2025-01-04,129875
o_00000395,u_001618,2025-01-08,64208
o_00000396,u_001618,2025-01-09,64218
o_00000397,u_001618,2025-01-11,69845
o_00000398,u_001618,2025-01-12,79980
o_00000399,u_001618,2025-01-12,68387
o_00000400,u_001618,2025-01-13,77889
o_00000401,u_001618,2025-01-13,90342
o_00000402,u_001618,2025-01-14,87529
o_00000403,u_013467,2025-01-10,73413
o_00000404,u_013467,2025-01-14,113906
o_00000405,u_013467,2025-01-25,130900
o_00000406,u_000176,2025-01-07,256315
o_00000407,u_000176,2025-01-24,209184
o_00000408,u_000176,2025-01-25,240683
o_00000409,u_000176,2025-02-01,291769
o_00000410,u_013787,2025-01-31,102174
o_00000411,u_012612,2025-02-26,73615
o_00000412,u_012978,2025-01-07,97258
o_00000413,u_012978,2025-01-29,103568
o_00000414,u_014068,2025-01-05,24844
o_00000415,u_014068,2025-02-06,31462
o_00000416,u_014068,2025-02-13,21509
o_00000417,u_013786,2025-01-01,154620
o_00000418,u_013786,2025-01-09,58444
o_00000419,u_000395,2025-01-09,47995
o_00000420,u_000395,2025-01-14,98898
o_00000421,u_000395,2025-02-01,93018
o_00000422,u_000395,2025-02-04,65349
o_00000423,u_000395,2025-02-05,67543
o_00000424,u_000395,2025-02-07,141963
o_00000425,u_000395,2025-02-11,60199
o_00000426,u_000395,2025-02-21,127107
o_00000427,u_000395,2025-02-22,117383
o_00000428,u_000395,2025-03-08,90905
o_00000429,u_000722,2025-01-14,106782
o_00000430,u_000722,2025-01-18,88953
o_00000431,u_000722,2025-02-20,95702
o_00000432,u_000722,2025-02-27,155072
o_00000433,u_002101,2025-01-03,86943
o_00000434,u_002101,2025-01-04,65100
o_00000435,u_002101,2025-01-17,42986
o_00000436,u_002101,2025-01-20,84122
o_00000437,u_002101,2025-01-21,52283
o_00000438,u_011917,2025-02-23,36312
o_00000439,u_010969,2025-03-06,48889
o_00000440,u_011243,2025-02-08,33111
o_00000441,u_001175,2025-01-08,174888
o_00000442,u_001175,2025-01-11,197793
o_00000443,u_001175,2025-01-26,210417
o_00000444,u_001175,2025-02-02,142136
o_00000445,u_001175,2025-02-05,242039
o_00000446,u_001175,2025-02-05,199296
o_00000447,u_001175,2025-02-06,204974
o_00000448,u_001175,2025-02-11,126348
o_00000449,u_001175,2025-02-19,213773
o_00000450,u_001175,2025-02-19,172523
o_00000451,u_012388,2025-01-04,45952
o_00000452,u_012388,2025-01-05,108872
o_00000453,u_012388,2025-01-19,70602
o_00000454,u_001591,2025-01-04,77866
o_00000455,u_001591,2025-01-10,91868
o_00000456,u_001591,2025-01-11,130332
o_00000457,u_001591,2025-01-11,59161
o_00000458,u_013282,2025-01-09,59176
o_00000459,u_013282,2025-01-18,35096
o_00000460,u_013282,2025-01-18,64024
o_00000461,u_010910,2025-01-29,66306
o_00000462,u_001205,2025-01-01,66774
o_00000463,u_001205,2025-01-01,41818
o_00000464,u_001205,2025-01-01,89775
o_00000465,u_001205,2025-01-01,37120
o_00000466,u_001205,2025-01-02,131875
o_00000467,u_001205,2025-01-02,42021
o_00000468,u_001205,2025-01-02,71430
o_00000469,u_001935,2025-01-18,74747
o_00000470,u_001935,2025-01-18,80011
o_00000471,u_001935,2025-01-31,31209
o_00000472,u_001935,2025-02-03,68801
o_00000473,u_001935,2025-02-08,61763
o_00000474,u_001935,2025-02-22,86425
o_00000475,u_000028,2025-01-04,213363
o_00000476,u_000028,2025-01-07,286369
o_00000477,u_000028,2025-01-27,218375
o_00000478,u_000028,2025-01-28,170812
o_00000479,u_000028,2025-02-14,274800
o_00000480,u_000028,2025-02-17,124121
o_00000481,u_013462,2025-01-01,159397
o_00000482,u_013462,2025-01-02,94527
o_00000483,u_013462,2025-01-10,163041
o_00000484,u_012943,2025-01-25,19965
o_00000485,u_012943,2025-02-09,52786
o_00000486,u_013716,2025-01-09,131096
o_00000487,u_013057,2025-01-01,48789
o_00000488,u_012058,2025-01-15,62161
o_00000489,u_012058,2025-01-27,86376
o_00000490,u_012058,2025-01-30,136144
o_00000491,u_000236,2025-01-11,191671
o_00000492,u_000236,2025-01-13,238530
o_00000493,u_000236,2025-01-15,276806
o_00000494,u_000236,2025-01-27,145043
o_00000495,u_000236,2025-01-27,101775
o_00000496,u_000236,2025-01-28,184729
o_00000497,u_000236,2025-01-31,177077
o_00000498,u_014823,2025-01-05,110969
o_00000499,u_014823,2025-01-13,133910
o_00000500,u_002033,2025-01-01,142909
o_00000501,u_002033,2025-01-16,131065
o_00000502,u_002033,2025-01-17,227308
o_00000503,u_002033,2025-01-21,123817
o_00000504,u_002033,2025-01-22,98074
o_00000505,u_002033,2025-01-24,211759
o_00000506,u_002033,2025-01-27,135170
o_00000507,u_002033,2025-01-30,123950
o_00000508,u_001837,2025-01-12,101803
o_00000509,u_001837,2025-01-20,65111
o_00000510,u_001837,2025-01-21,144633
o_00000511,u_001837,2025-01-21,101796
o_00000512,u_011713,2025-01-06,41971
o_00000513,u_000189,2025-01-02,132545
o_00000514,u_000189,2025-02-05,112930
o_00000515,u_000189,2025-02-20,153735
o_00000516,u_000189,2025-02-26,167224
o_00000517,u_000189,2025-03-17,160774
o_00000518,u_000911,2025-01-05,79634
o_00000519,u_000911,2025-01-08,97482
o_00000520,u_000911,2025-01-10,67614
o_00000521,u_000911,2025-01-10,49637
o_00000522,u_000911,2025-01-13,128857
o_00000523,u_001273,2025-01-03,156205
o_00000524,u_001273,2025-01-05,77637
o_00000525,u_001273,2025-01-09,177814
o_00000526,u_001273,2025-01-10,120259
o_00000527,u_001273,2025-01-12,147667
o_00000528,u_011486,2025-01-05,74467
o_00000529,u_000533,2025-01-09,310302
o_00000530,u_000533,2025-01-13,152202
o_00000531,u_000533,2025-01-18,322174
o_00000532,u_000533,2025-01-21,398298
o_00000533,u_000533,2025-02-04,421570
o_00000534,u_000533,2025-02-06,395047
o_00000535,u_011735,2025-01-14,120050
o_00000536,u_011735,2025-01-17,79060
o_00000537,u_011735,2025-02-14,134265
o_00000538,u_014268,2025-01-10,84946
o_00000539,u_014268,2025-01-12,61351
o_00000540,u_014268,2025-01-15,65950
o_00000541,u_013785,2025-01-02,107569
o_00000542,u_013785,2025-01-05,67296
o_00000543,u_000670,2025-02-18,238594
o_00000544,u_000670,2025-03-05,358012
o_00000545,u_000670,2025-03-11,125400
o_00000546,u_000670,2025-03-12,322727
o_00000547,u_001898,2025-01-02,46378
o_00000548,u_001898,2025-01-03,100670
o_00000549,u_001898,2025-01-05,80646
o_00000550,u_001898,2025-01-17,72633
o_00000551,u_001898,2025-01-20,68438
o_00000552,u_001898,2025-01-25,142174
o_00000553,u_001898,2025-01-25,103949
o_00000554,u_001898,2025-01-28,104645
o_00000555,u_001898,2025-01-28,119035
o_00000556,u_014553,2025-01-03,156735
o_00000557,u_014553,2025-01-05,83542
o_00000558,u_014553,2025-01-07,135241
o_00000559,u_000938,2025-01-01,125780
o_00000560,u_000938,2025-01-01,107612
o_00000561,u_000938,2025-01-02,129257
o_00000562,u_000938,2025-01-04,129884
o_00000563,u_000938,2025-01-04,68410
o_00000564,u_000938,2025-01-06,73094
o_00000565,u_000938,2025-01-08,111838
o_00000566,u_000938,2025-01-08,144387
o_00000567,u_000938,2025-01-09,134705
o_00000568,u_012521,2025-01-02,77202
o_00000569,u_012521,2025-01-04,173675
o_00000570,u_012796,2025-01-17,136365
o_00000571,u_000674,2025-01-04,126271
o_00000572,u_000674,2025-01-13,128791
o_00000573,u_000674,2025-01-18,71540
o_00000574,u_000674,2025-03-01,115373
o_00000575,u_000674,2025-03-11,165915
o_00000576,u_000674,2025-03-18,188370
o_00000577,u_012845,2025-01-03,83952
o_00000578,u_012845,2025-01-05,96709
o_00000579,u_012845,2025-01-07,104094
o_00000580,u_001919,2025-01-08,75609
o_00000581,u_001919,2025-01-15,52251
o_00000582,u_001919,2025-01-17,93632
o_00000583,u_001919,2025-01-29,104865
o_00000584,u_001919,2025-02-07,85446
o_00000585,u_001919,2025-02-09,151675
o_00000586,u_012370,2025-01-12,82074
o_00000587,u_012370,2025-02-03,158039
o_00000588,u_012370,2025-02-07,158158
o_00000589,u_001464,2025-01-03,38574
o_00000590,u_001464,2025-01-09,80126
o_00000591,u_001464,2025-01-18,32219
o_00000592,u_001464,2025-01-18,91197
o_00000593,u_001464,2025-01-22,67089
o_00000594,u_001464,2025-02-01,103321
o_00000595,u_001464,2025-02-12,52243
o_00000596,u_001464,2025-02-19,108730
o_00000597,u_000720,2025-01-04,371091
o_00000598,u_000720,2025-01-28,168830
o_00000599,u_000720,2025-02-06,247629
o_00000600,u_000720,2025-02-08,203463
o_00000601,u_000720,2025-02-15,174364
o_00000602,u_000720,2025-02-21,355169
o_00000603,u_001473,2025-01-10,95321
o_00000604,u_001473,2025-01-24,57015
o_00000605,u_001473,2025-01-28,41751
o_00000606,u_001473,2025-01-31,76231
o_00000607,u_001473,2025-02-17,102186
o_00000608,u_001432,2025-01-04,93972
o_00000609,u_001432,2025-01-05,41247
o_00000610,u_001432,2025-01-06,49251
o_00000611,u_001432,2025-01-12,74234
o_00000612,u_001432,2025-01-17,94800
o_00000613,u_001432,2025-01-21,79909
o_00000614,u_001432,2025-01-22,105458
o_00000615,u_001432,2025-01-28,71824
o_00000616,u_001432,2025-02-01,101427
o_00000617,u_001733,2025-01-05,67875
o_00000618,u_001733,2025-01-06,79194
o_00000619,u_001733,2025-01-07,65108
o_00000620,u_001733,2025-01-13,88122
o_00000621,u_001733,2025-01-14,42579
o_00000622,u_001733,2025-01-16,103645
o_00000623,u_001733,2025-01-17,32791
o_00000624,u_001733,2025-01-17,36424
o_00000625,u_013749,2025-01-08,97896
o_00000626,u_013749,2025-01-10,61729
o_00000627,u_013749,2025-01-19,57735
o_00000628,u_014046,2025-01-13,68115
o_00000629,u_014046,2025-01-21,59840
o_00000630,u_013424,2025-01-04,80401
o_00000631,u_013424,2025-01-12,69179
o_00000632,u_013157,2025-01-14,155517
o_00000633,u_013157,2025-01-31,107407
o_00000634,u_013157,2025-02-08,80763
o_00000635,u_012171,2025-01-01,62179
o_00000636,u_012171,2025-01-04,64534
o_00000637,u_012171,2025-01-24,49645
o_00000638,u_014482,2025-01-01,151740
o_00000639,u_014482,2025-01-02,133565
o_00000640,u_014482,2025-01-09,112132
o_00000641,u_010642,2025-02-20,34017
o_00000642,u_000871,2025-01-07,119472
o_00000643,u_000871,2025-01-08,98861
o_00000644,u_000871,2025-01-20,97878
o_00000645,u_000871,2025-01-24,86960
o_00000646,u_000871,2025-02-02,148544
o_00000647,u_000871,2025-02-03,55882
o_00000648,u_000871,2025-02-06,144497
o_00000649,u_001019,2025-01-07,127474
o_00000650,u_001019,2025-01-08,158365
o_00000651,u_001019,2025-01-09,163548
o_00000652,u_001019,2025-01-12,167567
o_00000653,u_001019,2025-01-13,140642
o_00000654,u_001019,2025-01-15,102784
o_00000655,u_001019,2025-01-17,168758
o_00000656,u_001019,2025-01-18,158230
o_00000657,u_011962,2025-01-03,95206
o_00000658,u_011962,2025-01-18,92294
o_00000659,u_011962,2025-01-23,35779
o_00000660,u_014165,2025-01-26,70767
o_00000661,u_000539,2025-01-03,235558
o_00000662,u_000539,2025-01-04,277583
o_00000663,u_000539,2025-01-14,108398
o_00000664,u_000539,2025-01-17,207143
o_00000665,u_000539,2025-01-27,243908
